1.00000000 -0.00000000
0.99900865 0.00021176
0.99801727 0.00042322
0.99702583 0.00063438
0.99603435 0.00084525
0.99504283 0.00105582
0.99405126 0.00126609
0.99305965 0.00147607
0.99206799 0.00168575
0.99107629 0.00189514
0.99008455 0.00210423
0.98909276 0.00231303
0.98810093 0.00252153
0.98710906 0.00272974
0.98611714 0.00293766
0.98512517 0.00314529
0.98413317 0.00335262
0.98314112 0.00355966
0.98214903 0.00376641
0.98115689 0.00397287
0.98016471 0.00417904
0.97917249 0.00438491
0.97818023 0.00459050
0.97718792 0.00479580
0.97619557 0.00500080
0.97520317 0.00520552
0.97421074 0.00540995
0.97321826 0.00561409
0.97222574 0.00581795
0.97123318 0.00602151
0.97024057 0.00622479
0.96924792 0.00642778
0.96825523 0.00663049
0.96726250 0.00683290
0.96626973 0.00703504
0.96527691 0.00723688
0.96428406 0.00743844
0.96329116 0.00763972
0.96229822 0.00784071
0.96130523 0.00804142
0.96031221 0.00824184
0.95931915 0.00844198
0.95832604 0.00864184
0.95733289 0.00884141
0.95633970 0.00904070
0.95534647 0.00923971
0.95435320 0.00943843
0.95335989 0.00963688
0.95236653 0.00983504
0.95137314 0.01003292
0.95037971 0.01023052
0.94938623 0.01042784
0.94839272 0.01062488
0.94739916 0.01082164
0.94640556 0.01101813
0.94541193 0.01121433
0.94441825 0.01141025
0.94342453 0.01160589
0.94243077 0.01180126
0.94143697 0.01199635
0.94044314 0.01219116
0.93944926 0.01238569
0.93845534 0.01257994
0.93746138 0.01277392
0.93646739 0.01296762
0.93547335 0.01316105
0.93447927 0.01335420
0.93348516 0.01354707
0.93249100 0.01373967
0.93149681 0.01393199
0.93050258 0.01412404
0.92950830 0.01431581
0.92851399 0.01450731
0.92751964 0.01469854
0.92652525 0.01488949
0.92553082 0.01508017
0.92453635 0.01527057
0.92354185 0.01546070
0.92254730 0.01565056
0.92155272 0.01584015
0.92055810 0.01602946
0.91956344 0.01621850
0.91856874 0.01640727
0.91757400 0.01659577
0.91657922 0.01678400
0.91558441 0.01697196
0.91458956 0.01715964
0.91359467 0.01734706
0.91259974 0.01753420
0.91160477 0.01772108
0.91060977 0.01790768
0.90961472 0.01809402
0.90861964 0.01828009
0.90762453 0.01846589
0.90662937 0.01865141
0.90563418 0.01883668
0.90463895 0.01902167
0.90364368 0.01920639
0.90264838 0.01939085
0.90165303 0.01957504
0.90065765 0.01975896
0.89966224 0.01994262
0.89866678 0.02012600
0.89767129 0.02030912
0.89667576 0.02049198
0.89568020 0.02067457
0.89468460 0.02085689
0.89368896 0.02103895
0.89269328 0.02122074
0.89169757 0.02140226
0.89070182 0.02158353
0.88970604 0.02176452
0.88871022 0.02194525
0.88771436 0.02212572
0.88671847 0.02230592
0.88572253 0.02248586
0.88472657 0.02266553
0.88373057 0.02284494
0.88273453 0.02302409
